id_der,name,tech,id_dem,active,investment,capacity,reduct,pred_max,cost_red,n
1,DEM_NQ_DSP_BAND1,DSP,1,true,false,0.0,true,0.0,300.0,1
2,DEM_NQ_DSP_BAND2,DSP,1,true,false,0.0,true,0.0,500.0,1
3,DEM_NQ_DSP_BAND3,DSP,1,true,false,0.0,true,0.0,1000.0,1
4,DEM_NQ_DSP_BAND4,DSP,1,true,false,0.0,true,0.0,7500.0,1
5,DEM_NQ_DSP_BANDRR,DSP,1,true,false,0.0,true,0.0,41480.0,1
6,DEM_CQ_DSP_BAND1,DSP,2,true,false,0.0,true,0.0,300.0,1
7,DEM_CQ_DSP_BAND2,DSP,2,true,false,0.0,true,0.0,500.0,1
8,DEM_CQ_DSP_BAND3,DSP,2,true,false,0.0,true,0.0,1000.0,1
9,DEM_CQ_DSP_BAND4,DSP,2,true,false,0.0,true,0.0,7500.0,1
10,DEM_CQ_DSP_BANDRR,DSP,2,true,false,0.0,true,0.0,41480.0,1
11,DEM_GG_DSP_BAND1,DSP,3,true,false,0.0,true,0.0,300.0,1
12,DEM_GG_DSP_BAND2,DSP,3,true,false,0.0,true,0.0,500.0,1
13,DEM_GG_DSP_BAND3,DSP,3,true,false,0.0,true,0.0,1000.0,1
14,DEM_GG_DSP_BAND4,DSP,3,true,false,0.0,true,0.0,7500.0,1
15,DEM_GG_DSP_BANDRR,DSP,3,true,false,0.0,true,0.0,41480.0,1
16,DEM_SQ_DSP_BAND1,DSP,4,true,false,0.0,true,0.0,300.0,1
17,DEM_SQ_DSP_BAND2,DSP,4,true,false,0.0,true,0.0,500.0,1
18,DEM_SQ_DSP_BAND3,DSP,4,true,false,0.0,true,0.0,1000.0,1
19,DEM_SQ_DSP_BAND4,DSP,4,true,false,0.0,true,0.0,7500.0,1
20,DEM_SQ_DSP_BANDRR,DSP,4,true,false,0.0,true,0.0,41480.0,1
21,DEM_NNSW_DSP_BAND1,DSP,5,true,false,0.0,true,0.0,300.0,1
22,DEM_NNSW_DSP_BAND2,DSP,5,true,false,0.0,true,0.0,500.0,1
23,DEM_NNSW_DSP_BAND3,DSP,5,true,false,0.0,true,0.0,1000.0,1
24,DEM_NNSW_DSP_BAND4,DSP,5,true,false,0.0,true,0.0,7500.0,1
25,DEM_NNSW_DSP_BANDRR,DSP,5,true,false,0.0,true,0.0,41480.0,1
26,DEM_CNSW_DSP_BAND1,DSP,6,true,false,0.0,true,0.0,300.0,1
27,DEM_CNSW_DSP_BAND2,DSP,6,true,false,0.0,true,0.0,500.0,1
28,DEM_CNSW_DSP_BAND3,DSP,6,true,false,0.0,true,0.0,1000.0,1
29,DEM_CNSW_DSP_BAND4,DSP,6,true,false,0.0,true,0.0,7500.0,1
30,DEM_CNSW_DSP_BANDRR,DSP,6,true,false,0.0,true,0.0,41480.0,1
31,DEM_SNW_DSP_BAND1,DSP,7,true,false,0.0,true,0.0,300.0,1
32,DEM_SNW_DSP_BAND2,DSP,7,true,false,0.0,true,0.0,500.0,1
33,DEM_SNW_DSP_BAND3,DSP,7,true,false,0.0,true,0.0,1000.0,1
34,DEM_SNW_DSP_BAND4,DSP,7,true,false,0.0,true,0.0,7500.0,1
35,DEM_SNW_DSP_BANDRR,DSP,7,true,false,0.0,true,0.0,41480.0,1
36,DEM_SNSW_DSP_BAND1,DSP,8,true,false,0.0,true,0.0,300.0,1
37,DEM_SNSW_DSP_BAND2,DSP,8,true,false,0.0,true,0.0,500.0,1
38,DEM_SNSW_DSP_BAND3,DSP,8,true,false,0.0,true,0.0,1000.0,1
39,DEM_SNSW_DSP_BAND4,DSP,8,true,false,0.0,true,0.0,7500.0,1
40,DEM_SNSW_DSP_BANDRR,DSP,8,true,false,0.0,true,0.0,41480.0,1
41,DEM_VIC_DSP_BAND1,DSP,9,true,false,0.0,true,0.0,300.0,1
42,DEM_VIC_DSP_BAND2,DSP,9,true,false,0.0,true,0.0,500.0,1
43,DEM_VIC_DSP_BAND3,DSP,9,true,false,0.0,true,0.0,1000.0,1
44,DEM_VIC_DSP_BAND4,DSP,9,true,false,0.0,true,0.0,7500.0,1
45,DEM_VIC_DSP_BANDRR,DSP,9,true,false,0.0,true,0.0,41480.0,1
46,DEM_TAS_DSP_BAND1,DSP,10,true,false,0.0,true,0.0,300.0,1
47,DEM_TAS_DSP_BAND2,DSP,10,true,false,0.0,true,0.0,500.0,1
48,DEM_TAS_DSP_BAND3,DSP,10,true,false,0.0,true,0.0,1000.0,1
49,DEM_TAS_DSP_BAND4,DSP,10,true,false,0.0,true,0.0,7500.0,1
50,DEM_TAS_DSP_BANDRR,DSP,10,true,false,0.0,true,0.0,41480.0,1
51,DEM_CSA_DSP_BAND1,DSP,11,true,false,0.0,true,0.0,300.0,1
52,DEM_CSA_DSP_BAND2,DSP,11,true,false,0.0,true,0.0,500.0,1
53,DEM_CSA_DSP_BAND3,DSP,11,true,false,0.0,true,0.0,1000.0,1
54,DEM_CSA_DSP_BAND4,DSP,11,true,false,0.0,true,0.0,7500.0,1
55,DEM_CSA_DSP_BANDRR,DSP,11,true,false,0.0,true,0.0,41480.0,1
56,DEM_SESA_DSP_BAND1,DSP,12,true,false,0.0,true,0.0,300.0,1
57,DEM_SESA_DSP_BAND2,DSP,12,true,false,0.0,true,0.0,500.0,1
58,DEM_SESA_DSP_BAND3,DSP,12,true,false,0.0,true,0.0,1000.0,1
59,DEM_SESA_DSP_BAND4,DSP,12,true,false,0.0,true,0.0,7500.0,1
60,DEM_SESA_DSP_BANDRR,DSP,12,true,false,0.0,true,0.0,41480.0,1
61,DEM_NQ_EV,EV,1,true,false,0.0,true,0.0,41480.0,1
62,DEM_CQ_EV,EV,2,true,false,0.0,true,0.0,41480.0,1
63,DEM_GG_EV,EV,3,true,false,0.0,true,0.0,41480.0,1
64,DEM_SQ_EV,EV,4,true,false,0.0,true,0.0,41480.0,1
65,DEM_NNSW_EV,EV,5,true,false,0.0,true,0.0,41480.0,1
66,DEM_CNSW_EV,EV,6,true,false,0.0,true,0.0,41480.0,1
67,DEM_SNW_EV,EV,7,true,false,0.0,true,0.0,41480.0,1
68,DEM_SNSW_EV,EV,8,true,false,0.0,true,0.0,41480.0,1
69,DEM_VIC_EV,EV,9,true,false,0.0,true,0.0,41480.0,1
70,DEM_TAS_EV,EV,10,true,false,0.0,true,0.0,41480.0,1
71,DEM_CSA_EV,EV,11,true,false,0.0,true,0.0,41480.0,1
72,DEM_SESA_EV,EV,12,true,false,0.0,true,0.0,41480.0,1
